"Empfänger";"Politikbereich";"Art";"Jahr";"Anschrift";"Geber";"Zuwendungsbereich";"Betrag"
"Wilhelm-Foerster-Sternwarte e. V.";" ";"Projektförderung";"2009";"Munsterdamm 90, 12169 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung der geplanten Anschaffung einer Full-Dome-Projektion (digitales Planetarium) inkl. vier Astronomie-/Wissens-Darstellungen und der Restaurierung des vorhandenen Planetariumsprojektors - als 1. Rate";"900000"
"Friedrich-Ebert-Stiftung e. V.";" ";"Projektförderung";"2009";"Godesberger Allee 149, 53175 Bonn";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung politischer Bildungsarbeit in und für Berlin im Kalenderjahr 2010";"837500"
"Berlin British School e. V.";" ";"Projektförderung";"2009";"Dickensweg 17 - 20, 14055 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des Erweiterungsbaus der Schulanlage in Berlin-Grunewald, Am Postfenn 31 sowie der Erstausstattungskosten - als 2. und letzte Rate";"734000"
"Konrad-Adenauer-Stiftung e. V.";" ";"Projektförderung";"2009";"Rathausallee 12, 53757 St. Augustin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung politischer Bildungsarbeit in und für Berlin im Kalenderjahr 2010";"620000"
"Helle Panke zur Förderung von Politik, Bildung und Kultur e. V.";" ";"Projektförderung";"2009";"Kopenhagener Straße 76, 10437 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung politischer Bildungsarbeit in und für Berlin im Kalenderjahr 2010";"492500"
"Bildungswerk Berlin der Heinrich-Böll-Stiftung e. V.";" ";"Projektförderung";"2009";"Kottbusser Damm 72, 10967 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung politischer Bildungsarbeit in und für Berlin im Kalenderjahr 2010";"310000"
"Friedrich-Naumann-Stiftung für die Freiheit Büro Berlin-Brandenburg Hauptstadtbüro";" ";"Projektförderung";"2009";"Reinhardtstraße 12, 10117 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung politischer Bildungsarbeit in und für Berlin im Kalenderjahr 2010";"240000"
"Deutsche Kultur-Gemeinschaft Urania Berlin e. V.";" ";"Projektförderung";"2009";"An der Urania 17, 10787 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung von Reparaturen bzw. Ersatzbeschaffungen von und für den Betrieb des Veranstaltungszentrums unerlässlichen Aus-rüstungsgegenständen im URANIA Gebäude";"115000"
"Freie Universität Berlin; Der Präsident";" ";"Projektförderung";"2009";"Kaiserswerther Straße 16 - 18, 14195 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des Projektes ''Journalisten International'' am Journalisten-Kolleg der FU-Berlin für die Kalenderjahre 2008 bis 2010";"98000"
"Arbeitskreis Neue Erziehung e. V.";" ";"Projektförderung";"2009";"Boppstraße 10, 10967 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der grundlegenden Überarbeitung und Modernisierung der Berliner Schulbriefe des ANE e. V. für Grundschuleltern - als 2. Rate";"29000"
"Arbeitsgemeinschaft Wasserrettungsdienst Berlin Projektfederführung: Arbeiter-Samariter-Bund LV Berlin e. V.";" ";"Projektförderung";"2009";"Kolonnenstraße 30 k, 10829 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss für Abriss und Neubau von drei Wasserrettungsstationen und drei Beobachtungstürmen sowie der Bestandssanierung bzw. Erneuerung der Haustechnik von zwei Stationen im südöstlichen Teil von Berlin";"982000"
"Deutsche Lebens-Rettungs-Gesellschaft LV Berlin e. V.";" ";"Projektförderung";"2009";"Am Pichelssee 20/21, 13595 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss für Neubau und Modernisierung der Wasserrettungsstationen Wannsee I und Jagen 97 sowie dem Neubau des Beobachtungsturmes Friedrichshagen";"327000"
"Arbeiter-Samariter-Bund Regionalverband Berlin-Südost e. V.";" ";"Projektförderung";"2009";"Bahnhofstraße 16, 12555 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der Ersatzbeschaffung für den 20 Jahre alten Rettungswagen nebst notwendigem medizintechnischen Zubehör";"120000"
"Straffälligen- und Bewährungshilfe Berlin e. V.";" ";"Projektförderung";"2009";"Bundesallee 42, 10715 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung des Projektes ''ISI - Integration statt Inhaftierung: Resozialisierung durch aufsuchende Sozialarbeit und Fall-management statt Ersatzfreiheitsstrafe''  als 3. Rate";"170000"
"Wildwasser, Arbeitsgemeinschaft gegen sexuellen Missbrauch an Mädchen e. V.";" ";"Projektförderung";"2009";"Wriezener Straße 10 - 11, 13359 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur weiteren Finanzierung des ZeugInnenbegleitprogramms für minderjährige OpferzeugInnen in Strafverfahren wegen Sexualstraftaten im Land Berlin";"30000"
"Förderverein Naturschutzstation Malchow e. V.";" ";"Projektförderung";"2009";"Dorfstraße 35, 13051 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der Neugestaltung des Süßwasseraquariums für heimische Fische und der ständigen Ausstellung in der Naturschutzstation Malchow";"984000"
"Humboldt-Universität zu Berlin Der Präsident";" ";"Projektförderung";"2009";"Unter den Linden 6, 10099 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der geplanten Jubiläumsausstellung ''Weltwissen'' zum Festjahr ''300 Jahre Wissenschaftsstadt Berlin'' im Martin-Gropius-Bau von September 2010 bis Januar 2012 - als 2. Rate";"1423100"
"Schülerruderverband Berlin e. V.";" ";"Projektförderung";"2009";"Händelstraße 98, 14513 Teltow";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung des geplanten Erwerbes von dringend benötigten Booten und Material für die Ruderausbildung";"296000"
"Charité - Universitätsmedizin Berlin";" ";"Projektförderung";"2009";"Charitéplatz 1, 10117 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung des geplanten Projektes ''Entwicklung und Validierung von Instrumenten zur Rückfallrisikoprognose bei Sexual-deliquenz für die Präventionsarbeit der Berliner Landespolizeibehörde''";"147800"
"IBI - Institut für Bildung in der Informationsgesellschaft e. V. c/o TU Berlin, FR 0-1";" ";"Projektförderung";"2009";"Franklinstraße 28/29, 10587 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der geplanten Entwicklung und Aufführung einer HipHopOper gegen Gewalt - ''EastWestSideStory'' mit Jugend-lichen im Strafvollzug -als 2. Rate";"102000"
