Date/Time,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Weather
2016-08-01 00:00:00,18.9,17.8,93.0,5.0,8.0,24.1,98.47,,
2016-08-01 01:00:00,18.1,17.5,96.0,36.0,2.0,24.1,98.48,,Mostly Cloudy
2016-08-01 02:00:00,18.1,17.3,95.0,4.0,4.0,24.1,98.47,,
2016-08-01 03:00:00,17.8,17.0,95.0,7.0,8.0,24.1,98.47,,
2016-08-01 04:00:00,17.3,17.0,98.0,4.0,6.0,24.1,98.48,,Mainly Clear
2016-08-01 05:00:00,16.9,16.6,98.0,5.0,4.0,16.1,98.51,,
2016-08-01 06:00:00,17.2,16.4,95.0,4.0,5.0,19.3,98.54,,
2016-08-01 07:00:00,18.6,17.1,91.0,5.0,6.0,24.1,98.57,,Mostly Cloudy
2016-08-01 08:00:00,21.1,18.0,82.0,8.0,10.0,24.1,98.61,27.0,
2016-08-01 09:00:00,22.5,18.9,80.0,13.0,5.0,24.1,98.63,29.0,
2016-08-01 10:00:00,22.9,18.9,78.0,5.0,5.0,24.1,98.6,30.0,Mostly Cloudy
2016-08-01 11:00:00,24.7,20.3,76.0,10.0,14.0,24.1,98.6,33.0,
2016-08-01 12:00:00,25.2,20.8,76.0,12.0,14.0,24.1,98.63,33.0,
2016-08-01 13:00:00,25.9,18.7,64.0,14.0,9.0,24.1,98.61,32.0,Mostly Cloudy
2016-08-01 14:00:00,26.3,19.1,64.0,14.0,10.0,24.1,98.59,33.0,
2016-08-01 15:00:00,26.2,19.0,64.0,7.0,5.0,24.1,98.56,33.0,
2016-08-01 16:00:00,24.1,19.9,77.0,29.0,4.0,24.1,98.5,32.0,Mostly Cloudy
2016-08-01 17:00:00,26.3,19.3,65.0,0.0,1.0,24.1,98.49,33.0,
2016-08-01 18:00:00,26.0,20.0,69.0,24.0,8.0,24.1,98.48,34.0,
2016-08-01 19:00:00,25.1,20.4,75.0,1.0,7.0,24.1,98.49,33.0,Mainly Clear
2016-08-01 20:00:00,22.5,19.5,83.0,2.0,8.0,24.1,98.55,30.0,
2016-08-01 21:00:00,21.0,19.2,89.0,3.0,7.0,24.1,98.62,28.0,
2016-08-01 22:00:00,20.1,18.4,90.0,8.0,4.0,24.1,98.63,26.0,Clear
2016-08-01 23:00:00,18.3,17.2,93.0,36.0,4.0,24.1,98.66,,
2016-08-02 00:00:00,17.7,16.4,92.0,4.0,6.0,24.1,98.67,,
2016-08-02 01:00:00,17.1,16.0,93.0,36.0,1.0,24.1,98.67,,Clear
2016-08-02 02:00:00,16.1,15.6,97.0,3.0,3.0,24.1,98.65,,
2016-08-02 03:00:00,15.8,15.3,97.0,35.0,4.0,24.1,98.64,,
2016-08-02 04:00:00,15.9,15.4,97.0,1.0,5.0,24.1,98.68,,Clear
2016-08-02 05:00:00,16.0,14.6,91.0,3.0,7.0,24.1,98.69,,
2016-08-02 06:00:00,17.5,15.2,86.0,7.0,6.0,24.1,98.71,,
2016-08-02 07:00:00,19.8,16.5,81.0,6.0,10.0,24.1,98.69,,Clear
2016-08-02 08:00:00,23.4,17.5,69.0,7.0,7.0,24.1,98.71,29.0,
2016-08-02 09:00:00,25.4,18.2,64.0,7.0,6.0,24.1,98.73,32.0,
2016-08-02 10:00:00,26.6,16.7,54.0,11.0,9.0,24.1,98.76,32.0,Clear
2016-08-02 11:00:00,27.6,17.9,55.0,13.0,8.0,24.1,98.76,34.0,
2016-08-02 12:00:00,28.4,15.2,44.0,10.0,11.0,24.1,98.77,32.0,
2016-08-02 13:00:00,28.9,15.0,42.0,11.0,9.0,22.5,98.73,33.0,Mainly Clear
2016-08-02 14:00:00,28.9,15.7,44.0,18.0,6.0,24.1,98.68,33.0,
2016-08-02 15:00:00,28.3,15.1,44.0,36.0,2.0,24.1,98.65,32.0,
2016-08-02 16:00:00,28.8,16.6,47.0,17.0,5.0,24.1,98.64,34.0,Mainly Clear
2016-08-02 17:00:00,28.0,18.6,56.0,21.0,11.0,24.1,98.61,34.0,
2016-08-02 18:00:00,27.5,17.3,53.0,21.0,9.0,24.1,98.56,33.0,
2016-08-02 19:00:00,26.1,16.2,54.0,19.0,9.0,24.1,98.59,31.0,Mainly Clear
2016-08-02 20:00:00,22.0,16.6,71.0,20.0,4.0,24.1,98.59,27.0,
2016-08-02 21:00:00,20.1,16.6,80.0,36.0,3.0,24.1,98.62,25.0,
